unit_id,cycle,pm_cost,cm_cost,labor_rate_standard,labor_rate_overtime,production_priority,downtime_penalty,revenue_per_hour,spare_parts_available,spare_parts_lead_time,technician_available,maintenance_window,shift_pattern,contract_penalty_active
1,1,646.2,5044.22,102.26,152.82,0,7164.95,10206.24,1,0,1,1,0,0
1,2,646.2,5044.22,102.26,152.82,0,7164.95,10206.24,1,0,1,1,0,0
1,3,646.2,5044.22,102.26,152.82,0,7164.95,10206.24,1,0,1,1,0,0
1,4,646.2,5044.22,102.26,152.82,0,7164.95,10206.24,1,0,1,1,0,0
1,5,646.2,5044.22,102.26,152.82,0,7164.95,10206.24,1,0,1,1,0,0
1,6,646.2,5044.22,102.26,152.82,0,7164.95,10206.24,1,0,1,1,0,0
1,7,646.2,5044.22,102.26,152.82,0,7164.95,10206.24,1,0,1,1,0,0
1,8,646.2,5044.22,102.26,152.82,0,7164.95,10206.24,1,0,1,1,0,0
1,9,646.2,5044.22,102.26,152.82,0,7164.95,10206.24,1,0,1,1,0,0
1,10,646.2,5044.22,102.26,152.82,0,7164.95,10206.24,1,0,1,1,0,0
1,11,646.2,5044.22,102.26,152.82,1,7102.82,10206.24,1,0,1,0,1,0
1,12,646.2,5044.22,102.26,152.82,1,7102.82,10206.24,1,0,1,0,1,0
1,13,646.2,5044.22,102.26,152.82,1,7102.82,10206.24,1,0,1,0,1,0
1,14,646.2,5044.22,102.26,152.82,1,7102.82,10206.24,1,0,1,0,1,0
1,15,646.2,5044.22,102.26,152.82,1,7102.82,10206.24,1,0,1,0,1,0
1,16,646.2,5044.22,102.26,152.82,1,7102.82,10206.24,1,0,1,0,1,0
1,17,646.2,5044.22,102.26,152.82,1,7102.82,10206.24,1,0,1,0,1,0
1,18,646.2,5044.22,102.26,152.82,1,7102.82,10206.24,1,0,1,0,1,0
1,19,646.2,5044.22,102.26,152.82,1,7102.82,10206.24,1,0,1,0,1,0
1,20,646.2,5044.22,102.26,152.82,1,7102.82,10206.24,1,0,1,0,1,0
1,21,646.2,5044.22,102.26,152.82,0,7986.71,10206.24,1,0,1,0,2,0
1,22,646.2,5044.22,102.26,152.82,0,7986.71,10206.24,1,0,1,0,2,0
1,23,646.2,5044.22,102.26,152.82,0,7986.71,10206.24,1,0,1,0,2,0
1,24,646.2,5044.22,102.26,152.82,0,7986.71,10206.24,1,0,1,0,2,0
1,25,646.2,5044.22,102.26,152.82,0,7986.71,10206.24,1,0,1,0,2,0
1,26,646.2,5044.22,102.26,152.82,0,7986.71,11316.3,1,0,1,0,2,0
1,27,646.2,5044.22,102.26,152.82,0,7986.71,11316.3,1,0,1,0,2,0
1,28,646.2,5044.22,102.26,152.82,0,7986.71,11316.3,1,0,1,0,2,0
1,29,646.2,5044.22,102.26,152.82,0,7986.71,11316.3,1,0,1,0,2,0
1,30,646.2,5044.22,102.26,152.82,0,7986.71,11316.3,1,0,1,0,2,0
1,31,646.2,5044.22,102.26,152.82,1,7806.01,11316.3,1,0,1,1,0,0
1,32,646.2,5044.22,102.26,152.82,1,7806.01,11316.3,1,0,1,1,0,0
1,33,646.2,5044.22,102.26,152.82,1,7806.01,11316.3,1,0,1,1,0,0
1,34,646.2,5044.22,102.26,152.82,1,7806.01,11316.3,1,0,1,1,0,0
