unit_id,cycle,pm_cost,cm_cost,labor_rate_standard,labor_rate_overtime,production_priority,downtime_penalty,revenue_per_hour,spare_parts_available,spare_parts_lead_time,technician_available,maintenance_window,shift_pattern,contract_penalty_active
1,1,651.02,4159.83,84.09,148.77,1,5697.73,9114.67,1,1,1,1,0,0
1,2,651.02,4159.83,84.09,148.77,1,5697.73,9114.67,1,1,1,1,0,0
1,3,651.02,4159.83,84.09,148.77,1,5697.73,9114.67,1,1,1,1,0,0
1,4,651.02,4159.83,84.09,148.77,1,5697.73,9114.67,1,1,1,1,0,0
1,5,651.02,4159.83,84.09,148.77,1,5697.73,9114.67,1,1,1,1,0,0
1,6,651.02,4159.83,84.09,148.77,1,5697.73,9114.67,1,1,1,1,0,0
1,7,651.02,4159.83,84.09,148.77,1,5697.73,9114.67,1,1,1,1,0,0
1,8,651.02,4159.83,84.09,148.77,1,5697.73,9114.67,1,1,1,1,0,0
1,9,651.02,4159.83,84.09,148.77,1,5697.73,9114.67,1,1,1,1,0,0
1,10,651.02,4159.83,84.09,148.77,1,5697.73,9114.67,1,1,1,1,0,0
1,11,651.02,4159.83,84.09,148.77,0,6645.71,9114.67,1,1,1,0,1,0
1,12,651.02,4159.83,84.09,148.77,0,6645.71,9114.67,1,1,1,0,1,0
1,13,651.02,4159.83,84.09,148.77,0,6645.71,9114.67,1,1,1,0,1,0
1,14,651.02,4159.83,84.09,148.77,0,6645.71,9114.67,1,1,1,0,1,0
1,15,651.02,4159.83,84.09,148.77,0,6645.71,9114.67,1,1,1,0,1,0
1,16,651.02,4159.83,84.09,148.77,0,6645.71,9114.67,1,1,1,0,1,0
1,17,651.02,4159.83,84.09,148.77,0,6645.71,9114.67,1,1,1,0,1,0
1,18,651.02,4159.83,84.09,148.77,0,6645.71,9114.67,1,1,1,0,1,0
1,19,651.02,4159.83,84.09,148.77,0,6645.71,9114.67,1,1,1,0,1,0
1,20,651.02,4159.83,84.09,148.77,0,6645.71,9114.67,1,1,1,0,1,0
1,21,651.02,4159.83,84.09,148.77,1,6714.79,9114.67,1,1,1,0,2,0
1,22,651.02,4159.83,84.09,148.77,1,6714.79,9114.67,1,1,1,0,2,0
1,23,651.02,4159.83,84.09,148.77,1,6714.79,9114.67,1,1,1,0,2,0
1,24,651.02,4159.83,84.09,148.77,1,6714.79,9114.67,1,1,1,0,2,0
1,25,651.02,4159.83,84.09,148.77,1,6714.79,9114.67,1,1,1,0,2,0
1,26,651.02,4159.83,84.09,148.77,1,6714.79,10551.66,1,1,1,0,2,0
1,27,651.02,4159.83,84.09,148.77,1,6714.79,10551.66,1,1,1,0,2,0
1,28,651.02,4159.83,84.09,148.77,1,6714.79,10551.66,1,1,1,0,2,0
1,29,651.02,4159.83,84.09,148.77,1,6714.79,10551.66,1,1,1,0,2,0
1,30,651.02,4159.83,84.09,148.77,1,6714.79,10551.66,1,1,1,0,2,0
1,31,651.02,4159.83,84.09,148.77,0,7814.11,10551.66,1,1,1,1,0,0
1,32,651.02,4159.83,84.09,148.77,0,7814.11,10551.66,1,1,1,1,0,0
1,33,651.02,4159.83,84.09,148.77,0,7814.11,10551.66,1,1,1,1,0,0
1,34,651.02,4159.83,84.09,148.77,0,7814.11,10551.66,1,1,1,1,0,0
1,35,651.02,4159.83,84.09,148.77,0,7814.11,10551.66,1,1,1,1,0,0
1,36,651.02,4159.83,84.09,148.77,0,7814.11,10551.66,1,1,1,1,0,0
1,37,651.02,4159.83,84.09,148.77,0,7814.11,10551.66,1,1,1,1,0,0
1,38,651.02,4159.83,84.09,148.77,0,7814.11,10551.66,1,1,1,1,0,0
1,39,651.02,4159.83,84.09,148.77,0,7814.11,10551.66,1,1,1,1,0,0
1,40,651.02,4159.83,84.09,148.77,0,7814.11,10551.66,1,1,1,1,0,0
1,41,651.02,4159.83,84.09,148.77,0,9646.21,10551.66,1,1,1,0,1,0
1,42,651.02,4159.83,84.09,148.77,0,9646.21,10551.66,1,1,1,0,1,0
1,43,651.02,4159.83,84.09,148.77,0,9646.21,10551.66,1,1,1,0,1,0
1,44,651.02,4159.83,84.09,148.77,0,9646.21,10551.66,1,1,1,0,1,0
1,45,651.02,4159.83,84.09,148.77,0,9646.21,10551.66,1,1,1,0,1,0
1,46,651.02,4159.83,84.09,148.77,0,9646.21,10551.66,1,1,1,0,1,0
1,47,651.02,4159.83,84.09,148.77,0,9646.21,10551.66,1,1,1,0,1,0
1,48,651.02,4159.83,84.09,148.77,0,9646.21,10551.66,1,1,1,0,1,0
1,49,651.02,4159.83,84.09,148.77,0,9646.21,10551.66,1,1,1,0,1,0
1,50,651.02,4159.83,84.09,148.77,0,9646.21,10551.66,1,1,1,0,1,0
1,51,661.69,4275.11,93.06,141.3,1,9798.43,8175.97,1,0,0,0,2,0
1,52,661.69,4275.11,93.06,141.3,1,9798.43,8175.97,1,0,0,0,2,0
1,53,661.69,4275.11,93.06,141.3,1,9798.43,8175.97,1,0,0,0,2,0
1,54,661.69,4275.11,93.06,141.3,1,9798.43,8175.97,1,0,0,0,2,0
1,55,661.69,4275.11,93.06,141.3,1,9798.43,8175.97,1,0,0,0,2,0
1,56,661.69,4275.11,93.06,141.3,1,9798.43,8175.97,1,0,0,0,2,0
